id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42213550,BLUE EMPIRE HOTEL @TRIPLE  ROOM - A,335257890,Blue,,Shinjuku Ku,35.69904,139.69951,Private room,18071,1,1,2020-04-01,0.10,9,0
42213861,ブルックリンスタイルアパートメントザスタンダードアパートメント渋谷H　インスタ映えホテル　想い出造り,61729485,ｻﾞｽﾀﾝﾀﾞｰﾄﾞｱﾊﾟｰﾄﾒﾝﾄ渋谷,,Shibuya Ku,35.67775,139.66919,Private room,8500,1,0,,,5,91
42213991,BLUE EMPIRE HOTEL @ FAMILY  ROOM - A,335257890,Blue,,Shinjuku Ku,35.70095,139.69734,Private room,30500,1,0,,,9,0
42215232,ブルックリンスタイルアパートメントＫ　インスタ映え　女子会誕生日会　長期滞在にも最適,61729485,ｻﾞｽﾀﾝﾀﾞｰﾄﾞｱﾊﾟｰﾄﾒﾝﾄ渋谷,,Shibuya Ku,35.67843,139.66951,Private room,10000,1,0,,,5,91
42216324,Former Stone Smith's house - Newly Renovated,27384892,Tackt,,Bunkyo Ku,35.72741,139.75312,Entire home/apt,22000,1,0,,,1,168
42233219,1 station to TDR/Double *Double Room+Breakfast,329794041,Family Resort Fifty'S For Maihama,,Edogawa Ku,35.64896,139.87165,Private room,1000000,1,0,,,4,95
42233313,1 station to TDR/Triple Room+Breakfast,329794041,Family Resort Fifty'S For Maihama,,Edogawa Ku,35.6488,139.87144,Private room,1000000,1,0,,,4,95
42235688,クイーンベッドルーム,320811007,Wei,,Edogawa Ku,35.74411,139.88319,Private room,3000,1,0,,,1,0
42237296,东京大学旁/120㎡一户建/舒适/2浴2卫/ 秋葉原步行10分/上野至近/JR站7分/新宿直达10分,248413357,Li,,Bunkyo Ku,35.70514,139.76456,Entire home/apt,35800,2,2,2020-03-20,0.18,5,82
42237561,5minSta near Haneda Airport TV+FreeWiFi Neat,335541476,大剛ﾀﾞﾐｱﾝ,,Ota Ku,35.56207,139.71075,Entire home/apt,3145,6,2,2021-01-20,0.85,2,348
